,index,name,lasso coef,used,abs_coef,rank,category
0,1,당좌비율,6.669629741028295e-11,True,6.669629741028295e-11,32,안정성
1,2,유동부채비율,1.2256041740217017e-05,True,1.2256041740217017e-05,51,안정성
2,3,비유동비율,-2.5105531815497125e-05,True,2.5105531815497125e-05,53,안정성
3,4,순운전자본비율,-6.716572800419398e-05,True,6.716572800419398e-05,55,안정성
4,5,부채비율,1.443581874698732e-05,True,1.443581874698732e-05,52,안정성
5,7,비유동장기적합률,8.428889094971298e-05,True,8.428889094971298e-05,57,안정성
6,8,매출채권_대_매입채무비율,1.3515647992373235e-08,True,1.3515647992373235e-08,36,안정성
7,9,자기자본순이익률,-7.044382404651082e-06,True,7.044382404651082e-06,49,수익성
8,10,총자본순이익률,-0.0002651626738996158,True,0.0002651626738996158,59,수익성
9,13,경영자본순이익률,-0.0003238650454599179,True,0.0003238650454599179,60,수익성
10,15,매출액순이익률,4.633022190059649e-07,True,4.633022190059649e-07,44,수익성
11,19,재고자산회전률,-8.761525351340442e-11,True,8.761525351340442e-11,33,활동성
12,24,매입채무회전률,-3.274082645394808e-08,True,3.274082645394808e-08,38,활동성
13,26,설비투자효율,-5.018819762720298e-11,True,5.018819762720298e-11,31,생산성
14,27,총자본투자효율,-8.120343212729616e-05,True,8.120343212729616e-05,56,생산성
15,28,자기자본증가율,2.781767142133144e-06,True,2.781767142133144e-06,48,성장성
16,30,영업이익증가율,-3.999413975735436e-08,True,3.999413975735436e-08,39,성장성
17,31,순이익증가율,3.066030888715333e-07,True,3.066030888715333e-07,42,성장성
18,32,유형자산증가율,4.5955430720329476e-09,True,4.5955430720329476e-09,35,성장성
19,35,부채구성비율,0.00016522192457674075,True,0.00016522192457674075,58,안정성
20,36,청산가치율,1.2144350690658137e-07,True,1.2144350690658137e-07,41,안정성
21,37,이익잉여금비율,1.6475336105160125e-06,True,1.6475336105160125e-06,46,안정성
22,40,이자보상비율,1.359941057737522e-08,True,1.359941057737522e-08,37,수익성
23,41,매출액판관비율,-9.647973805619004e-07,True,9.647973805619004e-07,45,수익성
24,43,부가가치율,-3.981661425681895e-07,True,3.981661425681895e-07,43,생산성
25,44,재고자산보유기간,-7.6065385525864086e-06,True,7.6065385525864086e-06,50,현금흐름
26,45,매출채권회수기간,3.097791039571423e-05,True,3.097791039571423e-05,54,현금흐름
27,49,EBITDA단기차입비율,-7.348973830571761e-08,True,7.348973830571761e-08,40,현금흐름
28,53,영업이익대비EBITDA비율,2.0573090668889033e-06,True,2.0573090668889033e-06,47,현금흐름
29,56,자기자본배율,-2.949233242615245e-09,True,2.949233242615245e-09,34,안정성
